Issue key,Summary,Description,Status,Priority,Severity,Component/s,Reporter,Assignee,Created,Resolved,Resolution,Labels,Issue Type,_true_label
PROJ-1006,Dropdown menu clips behind adjacent card component,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to File Upload
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Trivial,Critical,File Upload,dave.brown,frank.miller,2025-01-08T21:00:00,2025-02-03T00:00:00,Won't Fix,regression,Bug,valid
PROJ-1040,Search returns no results for exact match queries,"Steps to reproduce:
1. Navigate to User Management
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Resolved,Major,Critical,User Management,alice.johnson,bob.smith,2025-01-09T07:00:00,2025-01-30T00:00:00,Fixed,regression,Bug,valid
PROJ-1086,Would like dark mode for the login page as well,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,Closed,Minor,Minor,User Management,frank.miller,,2025-01-06T19:00:00,,,question,Bug,invalid
PROJ-1068,User preference sync across tabs lost after service worker update,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Notifications
3. Trigger the issue

This blocks QA testing for the current sprint.",Open,Trivial,Minor,Notifications,dave.brown,dave.brown,2025-01-20T09:00:00,2025-02-07T00:00:00,Fixed,"regression,critical",Bug,valid
PROJ-1114,Background job scheduler skips runs when server clock adjustment,"Steps to reproduce:
1. Navigate to Notifications
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environ

(Similar issue observed independently)",Open,Major,Trivial,Notifications,carol.williams,,2025-01-13T18:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-1076,Tooltips are distracting when I scroll quickly,Saw this on my personal device. Not sure if it's related to my setup or the application.,Closed,Minor,Trivial,Reports,bob.smith,,2025-01-06T10:00:00,,,question,Bug,invalid
PROJ-1101,Suggestion: allow drag-reorder of dashboard widgets,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,In Progress,Minor,Minor,Settings,bob.smith,,2025-01-18T16:00:00,,,,Bug,invalid
PROJ-1120,Issue: status badge color contrast ratio fails wcag aa on light theme,"Steps to reproduce:
1. Navigate to Payment
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: 

(Similar issue observed independently)",In Progress,Critical,Critical,Payment,alice.johnson,,2025-01-24T01:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-1037,Attachment preview fails for HEIC image format,"Found during regression testing of Dashboard.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Open,Trivial,Critical,Dashboard,bob.smith,dave.brown,2025-01-12T05:00:00,2025-02-11T00:00:00,,regression,Bug,valid
PROJ-1106,Issue: user profile update does not save phone number,"Steps to reproduce:
1. Navigate to File Upload
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environme

(Similar issue observed independently)",Closed,Minor,Critical,File Upload,frank.miller,,2025-01-19T07:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-1056,GraphQL query returns 500 for nested pagination,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to API Gateway
3. Trigger the issue

This blocks QA testing for the current sprint.",Resolved,Major,Critical,API Gateway,frank.miller,frank.miller,2025-01-11T10:00:00,,Fixed,"regression,ui",Bug,valid
PROJ-1045,Comment thread collapses unexpectedly when new reply arrives,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to User Management
3. Trigger the issue

This blocks QA testing for the current sprint.",Resolved,Major,Minor,User Management,alice.johnson,carol.williams,2025-01-17T08:00:00,2025-02-08T00:00:00,Won't Fix,regression,Bug,valid
PROJ-1015,User profile update does not save phone number,"Steps to reproduce:
1. Navigate to File Upload
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Open,Minor,Critical,File Upload,dave.brown,alice.johnson,2025-01-12T05:00:00,2025-02-10T00:00:00,Fixed,"regression,critical",Bug,valid
PROJ-1066,Database connection pool exhausted under concurrent report generation,"Found during regression testing of Notifications.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Critical,Major,Notifications,frank.miller,frank.miller,2025-01-23T18:00:00,2025-02-03T00:00:00,Fixed,"regression,ui",Bug,valid
PROJ-1097,Would be nice to have keyboard shortcuts,This is more of a suggestion than a bug. The current behavior works but could be improved.,Resolved,Major,Minor,Notifications,frank.miller,,2025-01-19T02:00:00,,,question,Bug,invalid
PROJ-1028,Locale-specific number formatting breaks chart axis labels,"Steps to reproduce:
1. Navigate to API Gateway
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",In Progress,Minor,Trivial,API Gateway,alice.johnson,carol.williams,2025-01-14T07:00:00,,Fixed,"regression,critical",Bug,valid
PROJ-1118,Issue: background image in hero section causes layout shift on initial paint,"Found during regression testing of Reports.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma

(Similar issue observed independently)",Closed,Minor,Trivial,Reports,alice.johnson,,2025-01-18T14:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-1054,Recursive folder move endpoint allows circular reference,"Steps to reproduce:
1. Navigate to Payment
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Closed,Minor,Major,Payment,bob.smith,frank.miller,2025-01-20T20:00:00,2025-02-09T00:00:00,Fixed,regression,Bug,valid
PROJ-1117,Notification preferences reset after password change (intermittent),"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Search
3. Trigger the issue

This blocks QA testing for the current sprint.

(Similar issue observed independently)",Open,Critical,Major,Search,bob.smith,,2025-01-09T23:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-1078,The error message could be more user-friendly,This is more of a suggestion than a bug. The current behavior works but could be improved.,In Progress,Major,Trivial,Authentication,bob.smith,,2025-01-15T19:00:00,,,question,Bug,invalid
PROJ-1063,Date range filter excludes end-date results due to midnight cutoff,"Steps to reproduce:
1. Navigate to User Management
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",In Progress,Major,Minor,User Management,dave.brown,frank.miller,2025-01-19T02:00:00,2025-02-03T00:00:00,Fixed,"regression,critical",Bug,valid
PROJ-1055,Two-column PDF layout breaks when left column content overflows,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Reports
3. Trigger the issue

This blocks QA testing for the current sprint.",In Progress,Major,Minor,Reports,carol.williams,dave.brown,2025-01-22T16:00:00,2025-02-12T00:00:00,Won't Fix,"regression,backend",Bug,valid
PROJ-1085,Notification sound is too loud and there is no volume control,This is more of a suggestion than a bug. The current behavior works but could be improved.,In Progress,Trivial,Trivial,User Management,frank.miller,,2025-01-08T07:00:00,,,needs-triage,Bug,invalid
PROJ-1057,CSV import fails when header row contains trailing whitespace,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to API Gateway
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Trivial,Minor,API Gateway,bob.smith,alice.johnson,2025-01-11T09:00:00,,Fixed,"regression,backend",Bug,valid
PROJ-1035,Drag and drop file upload breaks on Safari,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Payment
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Minor,Minor,Payment,frank.miller,alice.johnson,2025-01-12T21:00:00,2025-02-01T00:00:00,Fixed,regression,Bug,valid
PROJ-1011,Status badge color contrast ratio fails WCAG AA on light theme,"Steps to reproduce:
1. Navigate to Payment
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",In Progress,Critical,Critical,Payment,dave.brown,eve.davis,2025-01-22T07:00:00,2025-01-26T00:00:00,Fixed,regression,Bug,valid
PROJ-1087,Would be nice to have a global undo action,This is more of a suggestion than a bug. The current behavior works but could be improved.,In Progress,Minor,Minor,Reports,bob.smith,,2025-01-13T21:00:00,,,question,Bug,invalid
